ARG, Deaths (period 1x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
2000-2004       66              8646.00        15383.00        24029.00
2000-2004       67              9144.00        16077.00        25221.00
2000-2004       68              9935.00        17518.00        27453.00
2000-2004       69             10715.00        17911.00        28626.00
2000-2004       70             11752.00        19743.00        31495.00
2000-2004       71             12560.00        19979.00        32539.00
2000-2004       72             13624.00        20569.00        34193.00
2000-2004       73             14573.00        21196.00        35769.00
2000-2004       74             15751.00        21361.00        37112.00
2000-2004       75             16606.00        21840.00        38446.00
2000-2004       76             17180.00        21663.00        38843.00
2000-2004       77             18045.00        21465.00        39510.00
2000-2004       78             18843.00        21958.00        40801.00
2000-2004       79             19876.00        21248.00        41124.00
2000-2004       80             21042.00        20423.00        41465.00
2000-2004       81             20852.00        19603.00        40455.00
2000-2004       82             21342.00        18155.00        39497.00
2000-2004       83             21522.00        16823.00        38345.00
2000-2004       84             21121.00        15634.00        36755.00
2000-2004       85             20925.00        14690.00        35615.00
2000-2004       86             21151.00        13521.00        34672.00
2000-2004       87             20752.00        12540.00        33292.00
2000-2004       88             20370.00        11216.00        31586.00
2000-2004       89             19164.00        10072.00        29236.00
2000-2004       90             17550.00         8822.00        26372.00
2000-2004       91             15170.00         7117.00        22287.00
2000-2004       92             13124.00         5752.00        18876.00
2000-2004       93             10744.00         4478.00        15222.00
2000-2004       94              8710.00         3439.00        12149.00
2000-2004       95              6834.00         2509.00         9343.00
2000-2004       96              5247.00         1815.00         7062.00
2000-2004       97              3872.00         1215.00         5087.00
2000-2004       98              2706.00          924.00         3630.00
2000-2004       99              2147.00          672.00         2819.00
2000-2004      100              1297.12          378.68         1675.80
2000-2004      101               817.97          233.21         1051.18
2000-2004      102               498.78          141.27          640.05
2000-2004      103               297.91           84.01          381.92
2000-2004      104               170.45           47.80          218.25
2000-2004      105                93.79           26.25          120.04
2000-2004      106                51.00           14.39           65.39
2000-2004      107                26.96            7.73           34.69
2000-2004      108                13.62            3.75           17.37
2000-2004      109                 6.69            0.93            7.62
2000-2004      110+                2.73            0.00            2.73
2005-2009        0             20142.00        26128.00        46270.00
2005-2009        1              1512.00         1674.00         3186.00
2005-2009        2               960.00         1139.00         2099.00
2005-2009        3               618.00          781.00         1399.00
2005-2009        4               491.00          583.00         1074.00
2005-2009        5               470.00          535.00         1005.00
2005-2009        6               360.00          465.00          825.00
2005-2009        7               362.00          500.00          862.00
2005-2009        8               362.00          455.00          817.00
2005-2009        9               336.00          465.00          801.00
2005-2009       10               381.00          461.00          842.00
2005-2009       11               350.00          536.00          886.00
2005-2009       12               411.00          582.00          993.00
2005-2009       13               497.00          688.00         1185.00
2005-2009       14               497.00          894.00         1391.00
2005-2009       15               696.00         1072.00         1768.00
2005-2009       16               733.00         1441.00         2174.00
2005-2009       17               768.00         1919.00         2687.00
2005-2009       18               771.00         2193.00         2964.00
2005-2009       19               778.00         2332.00         3110.00
2005-2009       20               785.00         2320.00         3105.00
2005-2009       21               777.00         2396.00         3173.00
2005-2009       22               794.00         2297.00         3091.00
2005-2009       23               836.00         2350.00         3186.00
2005-2009       24               842.00         2310.00         3152.00
2005-2009       25               891.00         2388.00         3279.00
2005-2009       26               917.00         2285.00         3202.00
2005-2009       27               965.00         2272.00         3237.00
2005-2009       28               979.00         2416.00         3395.00
2005-2009       29               999.00         2376.00         3375.00
2005-2009       30              1048.00         2404.00         3452.00
2005-2009       31              1093.00         2183.00         3276.00
2005-2009       32              1113.00         2226.00         3339.00
2005-2009       33              1155.00         2234.00         3389.00
2005-2009       34              1245.00         2270.00         3515.00
2005-2009       35              1356.00         2445.00         3801.00
2005-2009       36              1381.00         2388.00         3769.00
2005-2009       37              1366.00         2517.00         3883.00
2005-2009       38              1558.00         2620.00         4178.00
2005-2009       39              1559.00         2669.00         4228.00
2005-2009       40              1713.00         3023.00         4736.00
2005-2009       41              1816.00         3134.00         4950.00
2005-2009       42              1987.00         3190.00         5177.00
2005-2009       43              2117.00         3353.00         5470.00
2005-2009       44              2262.00         3723.00         5985.00
2005-2009       45              2525.00         4267.00         6792.00
2005-2009       46              2661.00         4428.00         7089.00
2005-2009       47              2916.00         4754.00         7670.00
2005-2009       48              3236.00         5275.00         8511.00
2005-2009       49              3453.00         5925.00         9378.00
2005-2009       50              3799.00         6905.00        10704.00
2005-2009       51              4027.00         7021.00        11048.00
2005-2009       52              4193.00         7555.00        11748.00
2005-2009       53              4586.00         7992.00        12578.00
2005-2009       54              4913.00         8794.00        13707.00
2005-2009       55              5130.00         9614.00        14744.00
2005-2009       56              5540.00        10142.00        15682.00
2005-2009       57              5830.00        10720.00        16550.00
2005-2009       58              6082.00        11314.00        17396.00
2005-2009       59              6503.00        11756.00        18259.00
2005-2009       60              7015.00        13276.00        20291.00
2005-2009       61              7089.00        13123.00        20212.00
2005-2009       62              7713.00        13504.00        21217.00
2005-2009       63              7819.00        14219.00        22038.00
2005-2009       64              8124.00        14681.00        22805.00
2005-2009       65              8685.00        15603.00        24288.00
2005-2009       66              8750.00        15465.00        24215.00
2005-2009       67              9541.00        16488.00        26029.00
2005-2009       68             10035.00        17018.00        27053.00
2005-2009       69             10564.00        17403.00        27967.00
2005-2009       70             11361.00        18512.00        29873.00
2005-2009       71             11758.00        18331.00        30089.00
2005-2009       72             12738.00        18780.00        31518.00
2005-2009       73             13422.00        19864.00        33286.00
2005-2009       74             14965.00        20692.00        35657.00
2005-2009       75             16162.00        21502.00        37664.00
2005-2009       76             17454.00        21851.00        39305.00
2005-2009       77             18775.00        22137.00        40912.00
2005-2009       78             20055.00        22476.00        42531.00
2005-2009       79             20966.00        22167.00        43133.00
2005-2009       80             22155.00        21903.00        44058.00
2005-2009       81             22800.00        21196.00        43996.00
2005-2009       82             23648.00        20750.00        44398.00
2005-2009       83             24561.00        19821.00        44382.00
2005-2009       84             24835.00        18864.00        43699.00
2005-2009       85             24539.00        17286.00        41825.00
2005-2009       86             24370.00        15668.00        40038.00
2005-2009       87             22744.00        13794.00        36538.00
2005-2009       88             21492.00        12228.00        33720.00
2005-2009       89             20306.00        10600.00        30906.00
2005-2009       90             18459.00         8871.00        27330.00
2005-2009       91             17164.00         7484.00        24648.00
2005-2009       92             15587.00         6207.00        21794.00
2005-2009       93             13500.00         5233.00        18733.00
2005-2009       94             11389.00         4080.00        15469.00
2005-2009       95              9294.00         3063.00        12357.00
2005-2009       96              7085.00         2313.00         9398.00
2005-2009       97              5325.00         1603.00         6928.00
2005-2009       98              3876.00         1100.00         4976.00
2005-2009       99              2681.00          765.00         3446.00
2005-2009      100              1722.40          419.51         2141.91
2005-2009      101              1122.80          263.42         1386.22
2005-2009      102               703.58          159.89          863.47
2005-2009      103               424.33           94.75          519.08
2005-2009      104               248.89           54.78          303.67
