ARG, Death rates (period 1x10), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
2000-2009       85             0.105754        0.156828        0.122184
2000-2009       86             0.120795        0.171718        0.136625
2000-2009       87             0.131062        0.185008        0.147254
2000-2009       88             0.145690        0.200125        0.161455
2000-2009       89             0.161846        0.218949        0.177783
2000-2009       90             0.177392        0.237605        0.193552
2000-2009       91             0.195031        0.252813        0.209960
2000-2009       92             0.216912        0.271793        0.230604
2000-2009       93             0.235589        0.297469        0.250492
2000-2009       94             0.258875        0.319774        0.273031
2000-2009       95             0.284390        0.337270        0.296320
2000-2009       96             0.306890        0.366586        0.319956
2000-2009       97             0.333513        0.378637        0.343103
2000-2009       98             0.359135        0.423899        0.372520
2000-2009       99             0.411800        0.493744        0.428096
2000-2009      100             0.411815        0.463025        0.421563
2000-2009      101             0.438660        0.488276        0.447934
2000-2009      102             0.465996        0.516636        0.475329
2000-2009      103             0.494137        0.548287        0.504013
2000-2009      104             0.521968        0.583001        0.532933
2000-2009      105             0.551654        0.627088        0.564908
2000-2009      106             0.585676        0.708037        0.606182
2000-2009      107             0.627353        0.890916        0.666387
2000-2009      108             0.697257        1.478155        0.777532
2000-2009      109             0.870379        3.425743        0.936920
2000-2009      110+            1.599222              .        1.599222
2010-2013        0             0.010477        0.012593        0.011564
2010-2013        1             0.000689        0.000812        0.000752
2010-2013        2             0.000481        0.000541        0.000512
2010-2013        3             0.000309        0.000404        0.000358
2010-2013        4             0.000248        0.000307        0.000278
2010-2013        5             0.000213        0.000262        0.000238
2010-2013        6             0.000182        0.000240        0.000212
2010-2013        7             0.000180        0.000228        0.000204
2010-2013        8             0.000156        0.000223        0.000190
2010-2013        9             0.000189        0.000214        0.000202
2010-2013       10             0.000183        0.000237        0.000211
2010-2013       11             0.000186        0.000243        0.000215
2010-2013       12             0.000234        0.000317        0.000276
2010-2013       13             0.000261        0.000355        0.000309
2010-2013       14             0.000300        0.000479        0.000391
2010-2013       15             0.000402        0.000659        0.000533
2010-2013       16             0.000458        0.000988        0.000727
