ARG, Exposure to risk (period 1x5), 	Last modified: 04 ago. 2019; MPv5 (May07)

  Year          Age             Female            Male           Total
2000-2004       16           1622828.65      1670977.24      3293805.89
2000-2004       17           1612049.84      1657351.79      3269401.63
2000-2004       18           1609298.13      1651325.88      3260624.00
2000-2004       19           1615279.32      1653723.53      3269002.85
2000-2004       20           1628724.10      1663405.86      3292129.96
2000-2004       21           1643449.14      1674357.02      3317806.15
2000-2004       22           1649749.28      1676999.57      3326748.85
2000-2004       23           1641075.56      1664807.44      3305882.99
2000-2004       24           1616079.86      1636586.43      3252666.29
2000-2004       25           1576111.88      1593665.58      3169777.46
2000-2004       26           1525877.33      1540746.98      3066624.31
2000-2004       27           1472945.08      1485445.57      2958390.64
2000-2004       28           1422677.24      1433074.63      2855751.87
2000-2004       29           1376321.19      1384783.80      2761104.99
2000-2004       30           1333828.69      1340415.32      2674244.02
2000-2004       31           1295681.10      1300447.77      2596128.87
2000-2004       32           1262323.27      1265287.46      2527610.73
2000-2004       33           1234025.31      1235098.00      2469123.31
2000-2004       34           1211156.19      1210311.76      2421467.95
2000-2004       35           1193795.86      1190837.93      2384633.79
2000-2004       36           1180826.27      1175208.03      2356034.30
2000-2004       37           1170234.32      1160763.24      2330997.56
2000-2004       38           1160481.64      1145366.36      2305848.00
2000-2004       39           1151134.89      1128579.56      2279714.45
2000-2004       40           1142082.71      1110399.79      2252482.50
2000-2004       41           1133152.47      1091726.24      2224878.71
2000-2004       42           1124143.21      1074178.22      2198321.43
2000-2004       43           1114694.77      1058644.55      2173339.32
2000-2004       44           1104558.44      1045190.41      2149748.85
2000-2004       45           1093615.03      1033172.38      2126787.41
2000-2004       46           1081442.34      1021539.71      2102982.05
2000-2004       47           1067497.46      1008721.15      2076218.61
2000-2004       48           1051323.46       993352.53      2044675.99
2000-2004       49           1032772.03       974981.88      2007753.91
2000-2004       50           1012040.18       953494.19      1965534.37
2000-2004       51            989510.13       929829.98      1919340.11
2000-2004       52            965591.24       905003.01      1870594.24
2000-2004       53            940578.47       879418.41      1819996.89
2000-2004       54            914853.46       853344.49      1768197.94
2000-2004       55            888676.74       826636.94      1715313.67
2000-2004       56            862495.55       799480.48      1661976.03
2000-2004       57            837104.81       772370.44      1609475.25
2000-2004       58            813029.06       745486.53      1558515.60
2000-2004       59            790488.92       719176.55      1509665.47
2000-2004       60            769664.84       693273.61      1462938.45
2000-2004       61            750468.15       668015.28      1418483.42
2000-2004       62            732861.00       643713.87      1376574.86
2000-2004       63            716707.13       620418.31      1337125.44
2000-2004       64            701975.35       598692.53      1300667.88
2000-2004       65            688632.86       578203.16      1266836.02
2000-2004       66            676102.58       558499.78      1234602.36
2000-2004       67            663879.40       539264.74      1203144.14
2000-2004       68            651458.61       519696.58      1171155.19
2000-2004       69            638478.35       499856.58      1138334.93
2000-2004       70            624658.81       479337.38      1103996.19
2000-2004       71            609616.29       457874.35      1067490.64
2000-2004       72            592936.06       435759.99      1028696.05
2000-2004       73            574152.64       412594.54       986747.18
2000-2004       74            552917.66       388185.84       941103.49
2000-2004       75            528992.04       362080.46       891072.50
2000-2004       76            502128.53       334002.74       836131.26
2000-2004       77            471898.84       303956.76       775855.61
2000-2004       78            437926.38       271886.07       709812.44
2000-2004       79            399301.80       239087.93       638389.73
2000-2004       80            338712.87       203074.29       541787.16
2000-2004       81            306684.93       176388.55       483073.48
2000-2004       82            280473.32       153571.29       434044.61
2000-2004       83            253943.34       132321.62       386264.96
2000-2004       84            229042.70       113400.27       342442.97
2000-2004       85            206435.59        97044.04       303479.63
2000-2004       86            185631.98        82939.74       268571.72
2000-2004       87            165256.83        70277.45       235534.29
2000-2004       88            144037.56        58633.74       202671.30
2000-2004       89            121982.33        47681.22       169663.55
2000-2004       90            100063.93        37413.53       137477.46
2000-2004       91             79594.52        28481.48       108076.00
2000-2004       92             61543.45        21082.34        82625.79
2000-2004       93             46338.84        15154.35        61493.19
2000-2004       94             33975.55        10655.27        44630.83
2000-2004       95             24328.52         7359.68        31688.20
2000-2004       96             17092.66         4971.01        22063.67
2000-2004       97             11676.85         3300.98        14977.83
2000-2004       98              7767.38         2149.21         9916.59
2000-2004       99              4965.26         1320.14         6285.40
2000-2004      100              3058.78          774.03         3832.81
2000-2004      101              1799.26          449.61         2248.87
2000-2004      102              1026.36          255.48         1281.84
2000-2004      103               574.34          141.29          715.63
2000-2004      104               308.75           74.48          383.23
2000-2004      105               159.21           37.50          196.71
2000-2004      106                80.46           17.75           98.21
2000-2004      107                38.81            7.16           45.97
2000-2004      108                16.91            1.92           18.83
2000-2004      109                 6.00            0.20            6.21
2000-2004      110+                1.04            0.00            1.04
2005-2009        0           1731985.00      1829650.83      3561635.83
2005-2009        1           1711102.50      1806395.17      3517497.67
2005-2009        2           1695581.50      1789741.33      3485322.83
2005-2009        3           1689098.50      1782565.50      3471664.00
2005-2009        4           1680872.06      1771931.22      3452803.28
2005-2009        5           1666858.64      1752716.86      3419575.50
2005-2009        6           1658371.34      1738019.37      3396390.71
2005-2009        7           1663243.24      1736856.81      3400100.05
2005-2009        8           1673382.94      1741037.04      3414419.98
2005-2009        9           1683200.43      1746393.15      3429593.59
2005-2009       10           1690155.10      1751159.52      3441314.62
2005-2009       11           1695842.39      1755773.36      3451615.75
2005-2009       12           1698174.26      1757345.90      3455520.16
2005-2009       13           1698084.76      1756644.08      3454728.84
2005-2009       14           1696635.13      1754479.90      3451115.03
2005-2009       15           1693353.03      1750192.82      3443545.84
2005-2009       16           1687577.93      1743040.38      3430618.30
2005-2009       17           1678964.95      1732437.71      3411402.66
2005-2009       18           1667353.05      1718237.12      3385590.16
2005-2009       19           1652686.63      1700625.27      3353311.90
2005-2009       20           1635481.44      1680281.63      3315763.07
2005-2009       21           1619124.49      1660594.49      3279718.98
2005-2009       22           1608341.67      1646338.82      3254680.49
2005-2009       23           1605595.55      1640025.18      3245620.73
2005-2009       24           1611549.14      1642314.92      3253864.06
2005-2009       25           1624809.34      1651789.45      3276598.79
2005-2009       26           1639111.96      1662319.32      3301431.28
2005-2009       27           1645027.40      1664733.18      3309760.58
2005-2009       28           1636261.02      1652725.89      3288986.91
2005-2009       29           1611307.65      1624815.37      3236123.02
2005-2009       30           1571364.40      1582250.49      3153614.88
2005-2009       31           1521147.59      1529754.73      3050902.31
2005-2009       32           1468116.74      1474701.89      2942818.63
2005-2009       33           1417591.35      1422275.14      2839866.48
2005-2009       34           1370912.48      1373776.63      2744689.11
2005-2009       35           1328160.10      1329189.61      2657349.71
2005-2009       36           1289771.66      1289031.19      2578802.86
2005-2009       37           1256190.40      1253684.99      2509875.39
2005-2009       38           1227630.49      1223238.89      2450869.39
2005-2009       39           1204442.60      1198112.84      2402555.44
2005-2009       40           1186659.82      1178204.04      2364863.86
2005-2009       41           1173108.97      1161901.71      2335010.68
2005-2009       42           1161851.58      1146605.31      2308456.89
2005-2009       43           1151464.54      1130353.48      2281818.02
2005-2009       44           1141507.90      1112546.98      2254054.88
2005-2009       45           1131725.28      1093136.87      2224862.16
2005-2009       46           1121935.55      1073094.75      2195030.30
2005-2009       47           1111930.82      1054002.80      2165933.61
2005-2009       48           1101402.10      1036595.05      2137997.16
2005-2009       49           1090233.59      1020948.68      2111182.26
2005-2009       50           1078158.44      1006456.90      2084615.34
2005-2009       51           1064690.11       992159.00      2056849.11
2005-2009       52           1049429.17       976717.76      2026146.92
2005-2009       53           1031947.50       958757.05      1990704.55
2005-2009       54           1011996.60       937599.19      1949595.79
2005-2009       55            989803.07       913324.80      1903127.87
2005-2009       56            965748.07       886827.82      1852575.88
2005-2009       57            940350.93       859020.50      1799371.43
2005-2009       58            914129.53       830513.25      1744642.78
2005-2009       59            887191.34       801658.72      1688850.06
2005-2009       60            859603.71       771870.59      1631474.30
2005-2009       61            832020.13       741666.04      1573686.17
2005-2009       62            805097.51       712026.23      1517123.74
2005-2009       63            779465.16       682635.92      1462101.08
2005-2009       64            755487.88       653552.45      1409040.33
2005-2009       65            732972.74       624812.27      1357785.01
2005-2009       66            712076.96       596761.95      1308838.91
2005-2009       67            692535.33       569537.37      1262072.69
2005-2009       68            673940.07       543263.26      1217203.32
2005-2009       69            656592.99       518623.70      1175216.69
2005-2009       70            640429.50       495217.69      1135647.19
2005-2009       71            624860.28       472334.38      1097194.66
