"Year","Age","Triangle","Cohort","Population","Deaths"
1991,90,2,1900,4233.34,440
1991,91,1,1900,3199.98,455
1991,91,2,1899,2955.63,349
1991,92,1,1899,2194.09,334
1991,92,2,1898,2036.54,255
1991,93,1,1898,1545.82,244
1991,93,2,1897,1496.1,186
1991,94,1,1897,1116.46,204
1991,94,2,1896,1078.83,156
1991,95,1,1896,761.55,159
1991,95,2,1895,722.28,122
1991,96,1,1895,500.03,91
1991,96,2,1894,469.79,70
1991,97,1,1894,335.28,60
1991,97,2,1893,316.78,46
1991,98,1,1893,223.05,49
1991,98,2,1892,214.33,39
1991,99,1,1892,133.73,44.95
1991,99,2,1891,128.83,36.71
1991,100,1,1891,73.12,19.61
1991,100,2,1890,69.6,15.49
1991,101,1,1890,42.84,12.27
1991,101,2,1889,41.22,9.66
1991,102,1,1889,24.73,7.55
1991,102,2,1888,23.75,5.87
1991,103,1,1888,13.74,4.53
1991,103,2,1887,13.07,3.48
1991,104,1,1887,7.37,2.65
1991,104,2,1886,7.14,2.01
1991,105,1,1886,3.9,1.51
1991,105,2,1885,3.79,1.13
1991,106,1,1885,1.71,0.84
1991,106,2,1884,1.39,0.62
1991,107,1,1884,0.38,0.46
1991,107,2,1883,0.33,0.33
1991,108,1,1883,0,0
1991,108,2,1882,0,0
1991,109,1,1882,0,0
1991,109,2,1881,0,0
1991,110,1,1881,0,0
1991,110,2,1880,0,0
1991,111,1,1880,0,0
1991,111,2,1879,0,0
1991,112,1,1879,0,0
1991,112,2,1878,0,0
1991,113,1,1878,0,0
1991,113,2,1877,0,0
1991,114,1,1877,0,0
1991,114,2,1876,0,0
1991,115,1,1876,0,0
1991,115,2,1875,0,0
1991,116,1,1875,0,0
1991,116,2,1874,0,0
1991,117,1,1874,0,0
1991,117,2,1873,0,0
1991,118,1,1873,0,0
1991,118,2,1872,0,0
1991,119,1,1872,0,0
1991,119,2,1871,0,0
1991,120,1,1871,0,0
1991,120,2,1870,0,0
1991,121,1,1870,0,0
1991,121,2,1869,0,0
1991,122,1,1869,0,0
1991,122,2,1868,0,0
1991,123,1,1868,0,0
1991,123,2,1867,0,0
1991,124,1,1867,0,0
1991,124,2,1866,0,0
1991,125,1,1866,0,0
1991,125,2,1865,0,0
1991,126,1,1865,0,0
1991,126,2,1864,0,0
1991,127,1,1864,0,0
1991,127,2,1863,0,0
1991,128,1,1863,0,0
1991,128,2,1862,0,0
1991,129,1,1862,0,0
1991,129,2,1861,0,0
1991,130,1,1861,0,0
1991,130,2,1860,0,0
1992,0,1,1992,348825,7751
1992,0,2,1991,349501.36,1140
1992,1,1,1991,349507.27,428
1992,1,2,1990,350457.47,281
1992,2,1,1990,353520.36,180
1992,2,2,1989,356938.35,126
1992,3,1,1989,350969.2,119
1992,3,2,1988,346097.64,88
1992,4,1,1988,342074.3,87
1992,4,2,1987,338272.79,67
1992,5,1,1987,335897.84,63
1992,5,2,1986,333280.64,51
1992,6,1,1986,332104.47,60
1992,6,2,1985,330576.32,51
1992,7,1,1985,330292.48,67
1992,7,2,1984,329875.77,59
1992,8,1,1984,330363.45,57
1992,8,2,1983,331040.64,52
1992,9,1,1983,332126.06,82
1992,9,2,1982,333530.98,77
1992,10,1,1982,334878.24,67
1992,10,2,1981,336434.44,64
1992,11,1,1981,338022.85,68
1992,11,2,1980,339646.65,66
1992,12,1,1980,341577.76,69
1992,12,2,1979,343434.44,68
1992,13,1,1979,343960.18,80
1992,13,2,1978,344599.41,79
1992,14,1,1978,341388.18,99
1992,14,2,1977,338843,99
1992,15,1,1977,332205.84,119
1992,15,2,1976,326706.78,119
1992,16,1,1976,319051.16,138
1992,16,2,1975,312558.28,137
1992,17,1,1975,305058.16,171
1992,17,2,1974,298521.15,169
1992,18,1,1974,291591.06,163
1992,18,2,1973,285387.16,159
1992,19,1,1973,280064.94,197
1992,19,2,1972,275174.89,189
1992,20,1,1972,271425.62,193
1992,20,2,1971,267933.36,184
1992,21,1,1971,264595.93,189
1992,21,2,1970,261561.16,178
1992,22,1,1970,258008.04,188
1992,22,2,1969,254944.58,175
1992,23,1,1969,251695.07,198
1992,23,2,1968,249042.33,183
1992,24,1,1968,246560.4,185
1992,24,2,1967,244637.62,170
1992,25,1,1967,242811.55,211
1992,25,2,1966,241473.75,193
1992,26,1,1966,240026.12,186
1992,26,2,1965,239029.37,170
1992,27,1,1965,237798.8,200
1992,27,2,1964,237002.4,183
1992,28,1,1964,235681.82,191
1992,28,2,1963,234834.02,176
1992,29,1,1963,233024.65,186
1992,29,2,1962,231773.25,172
1992,30,1,1962,229474.84,232
1992,30,2,1961,227858.29,215
1992,31,1,1961,225511.14,184
1992,31,2,1960,223850.74,172
1992,32,1,1960,221655.35,184
1992,32,2,1959,220067.11,172
1992,33,1,1959,218082.3,203
1992,33,2,1958,216680.01,190
1992,34,1,1958,215204.51,222
1992,34,2,1957,214248.33,209
1992,35,1,1957,213219.3,259
1992,35,2,1956,212681.11,244
1992,36,1,1956,211778.65,217
1992,36,2,1955,211348.85,205
1992,37,1,1955,210372.94,285
1992,37,2,1954,209912.16,271
1992,38,1,1954,208637.54,284
1992,38,2,1953,207978.88,270
1992,39,1,1953,206057.24,303
1992,39,2,1952,204853.03,289
1992,40,1,1952,202264.92,371
1992,40,2,1951,200532.6,355
1992,41,1,1951,197756.5,371
1992,41,2,1950,195864.03,355
1992,42,1,1950,193136.05,392
1992,42,2,1949,191243.78,374
1992,43,1,1949,188481.27,412
1992,43,2,1948,186555.21,393
1992,44,1,1948,183815.09,445
1992,44,2,1947,181930.64,424
1992,45,1,1947,179212.25,481
1992,45,2,1946,177404.19,456
1992,46,1,1946,174651.88,538
1992,46,2,1945,172887.57,507
1992,47,1,1945,170138.03,544
1992,47,2,1944,168409.7,511
1992,48,1,1944,165651.04,573
1992,48,2,1943,163972.4,536
1992,49,1,1943,161265.03,618
1992,49,2,1942,159732.21,576
1992,50,1,1942,157030.61,758
1992,50,2,1941,155673.09,703
1992,51,1,1941,153012.7,726
1992,51,2,1940,151786.88,671
1992,52,1,1940,149199.18,812
1992,52,2,1939,148055.99,749
1992,53,1,1939,145497.92,854
1992,53,2,1938,144509.53,786
1992,54,1,1938,142201.98,868
1992,54,2,1937,141548.08,797
1992,55,1,1937,139448.52,973
1992,55,2,1936,139098.3,893
1992,56,1,1936,137059.52,978
1992,56,2,1935,136856.86,898
1992,57,1,1935,134847.58,1034
1992,57,2,1934,134734.64,949
1992,58,1,1934,132576.46,1184
1992,58,2,1933,132541.22,1088
1992,59,1,1933,130239.22,1219
1992,59,2,1932,130222.01,1122
1992,60,1,1932,127830.88,1383
1992,60,2,1931,127829.54,1273
1992,61,1,1931,125343.99,1437
1992,61,2,1930,125384.16,1320
1992,62,1,1930,122867.67,1458
1992,62,2,1929,122954.89,1336
1992,63,1,1929,120100.87,1464
1992,63,2,1928,119976.46,1338
1992,64,1,1928,116504.47,1590
