"Year","Age","Triangle","Cohort","Population","Deaths"
1991,67,1,1924,120534.94,946
1991,67,2,1923,119098.23,874
1991,68,1,1923,115652.71,977
1991,68,2,1922,114203.22,902
1991,69,1,1922,110544.9,1039
1991,69,2,1921,109136.66,959
1991,70,1,1921,105218.54,1088
1991,70,2,1920,103887.91,1002
1991,71,1,1920,99705.39,1195
1991,71,2,1919,98698.66,1099
1991,72,1,1919,94395.18,1136
1991,72,2,1918,93572.89,1043
1991,73,1,1918,89298.2,1220
1991,73,2,1917,88478.16,1118
1991,74,1,1917,84231.84,1279
1991,74,2,1916,83503.79,1170
1991,75,1,1916,79396.76,1382
1991,75,2,1915,78680.7,1260
1991,76,1,1915,74721.42,1593
1991,76,2,1914,74032.68,1447
1991,77,1,1914,70196.25,1611
1991,77,2,1913,69501.17,1460
1991,78,1,1913,65712.53,1744
1991,78,2,1912,65153.37,1574
1991,79,1,1912,61443.93,1722
1991,79,2,1911,61152.25,1544
1991,80,1,1911,56463.9,1837
1991,80,2,1910,55143.95,1635
1991,81,1,1910,50361.66,1795
1991,81,2,1909,48800.36,1586
1991,82,1,1909,44169.54,1804
1991,82,2,1908,42708.71,1584
1991,83,1,1908,38259.54,1811
1991,83,2,1907,36974.37,1580
1991,84,1,1907,32817.87,1675
1991,84,2,1906,31691.37,1450
1991,85,1,1906,28109.79,1649
1991,85,2,1905,27390.2,1412
1991,86,1,1905,23947.29,1642
1991,86,2,1904,23305.38,1389
1991,87,1,1904,19949,1484
1991,87,2,1903,19221.63,1240
1991,88,1,1903,16205.4,1385
1991,88,2,1902,15571.16,1142
1991,89,1,1902,13056.24,1198
1991,89,2,1901,12656.32,973
1991,90,1,1901,10385.16,1143
1991,90,2,1900,10003,916
1991,91,1,1900,7716.84,934
1991,91,2,1899,7084.68,738
1991,92,1,1899,5364.9,699
1991,92,2,1898,4928.12,545
1991,93,1,1898,3845.22,515
1991,93,2,1897,3703.31,396
1991,94,1,1897,2858.7,458
1991,94,2,1896,2757.09,347
1991,95,1,1896,2032.72,356
1991,95,2,1895,1921.35,266
1991,96,1,1895,1371.03,256
1991,96,2,1894,1275.72,189
1991,97,1,1894,902.32,181
1991,97,2,1893,848.92,131
1991,98,1,1893,596.21,131
1991,98,2,1892,568.51,94
1991,99,1,1892,365.62,118.39
1991,99,2,1891,340.08,83.34
1991,100,1,1891,203.23,51.31
1991,100,2,1890,190.65,40.93
1991,101,1,1890,117.24,32.48
1991,101,2,1889,110.35,25.58
1991,102,1,1889,65.46,19.98
1991,102,2,1888,61.63,15.48
1991,103,1,1888,35.41,11.9
1991,103,2,1887,33.75,9.08
1991,104,1,1887,18.58,6.87
1991,104,2,1886,17.66,5.16
1991,105,1,1886,9.3,3.85
1991,105,2,1885,8.95,2.85
1991,106,1,1885,4.48,2.09
1991,106,2,1884,4.39,1.53
1991,107,1,1884,1.72,1.11
1991,107,2,1883,1.37,0.8
1991,108,1,1883,0.43,0.57
1991,108,2,1882,0.69,0.4
1991,109,1,1882,0.14,0.28
1991,109,2,1881,0,0
1991,110,1,1881,0,0
1991,110,2,1880,0,0
1991,111,1,1880,0,0
1991,111,2,1879,0,0
1991,112,1,1879,0,0
1991,112,2,1878,0,0
1991,113,1,1878,0,0
1991,113,2,1877,0,0
1991,114,1,1877,0,0
1991,114,2,1876,0,0
1991,115,1,1876,0,0
1991,115,2,1875,0,0
1991,116,1,1875,0,0
1991,116,2,1874,0,0
1991,117,1,1874,0,0
1991,117,2,1873,0,0
1991,118,1,1873,0,0
1991,118,2,1872,0,0
1991,119,1,1872,0,0
1991,119,2,1871,0,0
1991,120,1,1871,0,0
1991,120,2,1870,0,0
1991,121,1,1870,0,0
1991,121,2,1869,0,0
1991,122,1,1869,0,0
1991,122,2,1868,0,0
1991,123,1,1868,0,0
1991,123,2,1867,0,0
1991,124,1,1867,0,0
1991,124,2,1866,0,0
1991,125,1,1866,0,0
1991,125,2,1865,0,0
1991,126,1,1865,0,0
1991,126,2,1864,0,0
1991,127,1,1864,0,0
1991,127,2,1863,0,0
1991,128,1,1863,0,0
1991,128,2,1862,0,0
1991,129,1,1862,0,0
1991,129,2,1861,0,0
1991,130,1,1861,0,0
1991,130,2,1860,0,0
1992,0,1,1992,329524,5993
1992,0,2,1991,332054.22,984
1992,1,1,1991,334525.55,373
1992,1,2,1990,337184.45,264
1992,2,1,1990,341438.47,171
1992,2,2,1989,345853.98,126
1992,3,1,1989,339831.86,71
1992,3,2,1988,334911.11,55
1992,4,1,1988,330938.54,68
1992,4,2,1987,327133.63,54
1992,5,1,1987,324836.95,56
1992,5,2,1986,322231.7,46
1992,6,1,1986,321200.05,41
1992,6,2,1985,319717.21,35
1992,7,1,1985,319642.38,34
1992,7,2,1984,319292,29
1992,8,1,1984,320028.07,43
1992,8,2,1983,320796.36,37
1992,9,1,1983,322155.96,62
1992,9,2,1982,323681.55,55
1992,10,1,1982,325334.19,48
1992,10,2,1981,327029.17,43
1992,11,1,1981,328947.01,33
1992,11,2,1980,330708.99,30
1992,12,1,1980,332995.3,38
1992,12,2,1979,335005.65,35
1992,13,1,1979,335888.42,49
1992,13,2,1978,336693.7,46
1992,14,1,1978,333834.96,64
1992,14,2,1977,331457.59,59
1992,15,1,1977,325179.99,64
1992,15,2,1976,319834.15,59
1992,16,1,1976,312538.93,63
1992,16,2,1975,306160.11,59
1992,17,1,1975,299074.71,67
1992,17,2,1974,292670.74,63
1992,18,1,1974,286147.52,72
1992,18,2,1973,280063.62,68
1992,19,1,1973,275074.57,91
1992,19,2,1972,270239.01,86
1992,20,1,1972,266787.36,90
1992,20,2,1971,263313.38,86
1992,21,1,1971,260259.95,82
1992,21,2,1970,257229.97,78
1992,22,1,1970,253996.62,72
1992,22,2,1969,250953.35,69
1992,23,1,1969,248063.51,76
1992,23,2,1968,245449.52,72
1992,24,1,1968,243358,74
1992,24,2,1967,241511.02,70
1992,25,1,1967,240149.17,81
1992,25,2,1966,238955.07,76
1992,26,1,1966,237954.12,93
1992,26,2,1965,237105.8,87
1992,27,1,1965,236274.07,81
1992,27,2,1964,235612.85,75
1992,28,1,1964,234862.48,97
1992,28,2,1963,234306.83,90
1992,29,1,1963,233419.22,114
1992,29,2,1962,232785.2,105
1992,30,1,1962,231756.24,109
1992,30,2,1961,231023.43,101
1992,31,1,1961,230001.66,106
1992,31,2,1960,229271.76,99
1992,32,1,1960,228313.88,120
1992,32,2,1959,227628.65,113
1992,33,1,1959,226640.85,124
1992,33,2,1958,225922.57,116
1992,34,1,1958,224864.73,122
1992,34,2,1957,224074.38,115
1992,35,1,1957,222908.63,145
1992,35,2,1956,222026.34,137
1992,36,1,1956,220772.02,143
1992,36,2,1955,219810.72,135
1992,37,1,1955,218485.95,162
1992,37,2,1954,217456.55,153
1992,38,1,1954,215896.47,177
1992,38,2,1953,214671.22,166
1992,39,1,1953,212695.66,184
1992,39,2,1952,211119.2,173
1992,40,1,1952,208765.65,216
1992,40,2,1951,206875.34,202
1992,41,1,1951,204352.23,216
1992,41,2,1950,202303.7,202
1992,42,1,1950,199753.41,232
1992,42,2,1949,197665.98,217
1992,43,1,1949,195056.46,247
1992,43,2,1948,192928.82,231
1992,44,1,1948,190260,239
1992,44,2,1947,188071.95,224
1992,45,1,1947,185353.39,268
1992,45,2,1946,183138.76,252
